COD_IBGE|NIVEL_IBGE|NIVEL_NOME|MUNICIPIO|POPULACAO|UF
1503093|N6|Município|Goianésia do Pará|41678|PA
1503101|N6|Município|Gurupá|34127|PA
1503200|N6|Município|Igarapé-Açu|39234|PA
1503309|N6|Município|Igarapé-Miri|63367|PA
1503408|N6|Município|Inhangapi|12009|PA
1503457|N6|Município|Ipixuna do Pará|67170|PA
1503507|N6|Município|Irituia|32639|PA
1503606|N6|Município|Itaituba|101541|PA
1503705|N6|Município|Itupiranga|53439|PA
1503754|N6|Município|Jacareacanga|6952|PA
1503804|N6|Município|Jacundá|60517|PA
1503903|N6|Município|Juruti|59961|PA
1504000|N6|Município|Limoeiro do Ajuru|29623|PA
1504059|N6|Município|Mãe do Rio|30389|PA
1504109|N6|Município|Magalhães Barata|8598|PA
1504208|N6|Município|Marabá|287664|PA
1504307|N6|Município|Maracanã|29559|PA
1504406|N6|Município|Marapanim|28563|PA
1504422|N6|Município|Marituba|135812|PA
1504455|N6|Município|Medicilândia|32347|PA
1504505|N6|Município|Melgaço|28121|PA
1504604|N6|Município|Mocajuba|31917|PA
1504703|N6|Município|Moju|84251|PA
1504752|N6|Município|Mojuí dos Campos|16282|PA
1504802|N6|Município|Monte Alegre|58289|PA
1504901|N6|Município|Muaná|41454|PA
1504950|N6|Município|Nova Esperança do Piriá|21519|PA
1504976|N6|Município|Nova Ipixuna|17027|PA
1505007|N6|Município|Nova Timboteua|15646|PA
1505031|N6|Município|Novo Progresso|25769|PA
1505064|N6|Município|Novo Repartimento|78488|PA
1505106|N6|Município|Óbidos|52473|PA
1505205|N6|Município|Oeiras do Pará|33182|PA
1505304|N6|Município|Oriximiná|74921|PA
1505403|N6|Município|Ourém|18079|PA
1505437|N6|Município|Ourilândia do Norte|33831|PA
1505486|N6|Município|Pacajá|49110|PA
1505494|N6|Município|Palestina do Pará|7575|PA
1505502|N6|Município|Paragominas|115838|PA
1505536|N6|Município|Parauapebas|218787|PA
1505551|N6|Município|Pau D'Arco|5339|PA
1505601|N6|Município|Peixe-Boi|8084|PA
1505635|N6|Município|Piçarra|12976|PA
1505650|N6|Município|Placas|32325|PA
1505700|N6|Município|Ponta de Pedras|32007|PA
1505809|N6|Município|Portel|63831|PA
1505908|N6|Município|Porto de Moz|42456|PA
1506005|N6|Município|Prainha|29827|PA
1506104|N6|Município|Primavera|10889|PA
1506112|N6|Município|Quatipuru|13794|PA
1506138|N6|Município|Redenção|86326|PA
1506161|N6|Município|Rio Maria|18208|PA
1506187|N6|Município|Rondon do Pará|53242|PA
1506195|N6|Município|Rurópolis|52473|PA
1506203|N6|Município|Salinópolis|41164|PA
1506302|N6|Município|Salvaterra|24392|PA
1506351|N6|Município|Santa Bárbara do Pará|21811|PA
1506401|N6|Município|Santa Cruz do Arari|10496|PA
1506500|N6|Município|Santa Izabel do Pará|72856|PA
1506559|N6|Município|Santa Luzia do Pará|19839|PA
1506583|N6|Município|Santa Maria das Barreiras|22244|PA
1506609|N6|Município|Santa Maria do Pará|25127|PA
1506708|N6|Município|Santana do Araguaia|75995|PA
1506807|N6|Município|Santarém|308339|PA
1506906|N6|Município|Santarém Novo|6796|PA
1507003|N6|Município|Santo Antônio do Tauá|32346|PA
1507102|N6|Município|São Caetano de Odivelas|18207|PA
1507151|N6|Município|São Domingos do Araguaia|25945|PA
1507201|N6|Município|São Domingos do Capim|32285|PA
1507300|N6|Município|São Félix do Xingu|135732|PA
1507409|N6|Município|São Francisco do Pará|15978|PA
1507458|N6|Município|São Geraldo do Araguaia|24566|PA
1507466|N6|Município|São João da Ponta|6294|PA
1507474|N6|Município|São João de Pirabas|23440|PA
1507508|N6|Município|São João do Araguaia|14105|PA
1507607|N6|Município|São Miguel do Guamá|60268|PA
1507706|N6|Município|São Sebastião da Boa Vista|27302|PA
1507755|N6|Município|Sapucaia|6088|PA
1507805|N6|Município|Senador José Porfírio|11305|PA
1507904|N6|Município|Soure|25752|PA
1507953|N6|Município|Tailândia|111554|PA
1507961|N6|Município|Terra Alta|11971|PA
1507979|N6|Município|Terra Santa|19063|PA
1508001|N6|Município|Tomé-Açu|64604|PA
1508035|N6|Município|Tracuateua|31549|PA
1508050|N6|Município|Trairão|19344|PA
1508084|N6|Município|Tucumã|40661|PA
1508100|N6|Município|Tucuruí|116605|PA
1508126|N6|Município|Ulianópolis|62286|PA
1508159|N6|Município|Uruará|45395|PA
1508209|N6|Município|Vigia|54650|PA
1508308|N6|Município|Viseu|62093|PA
1508357|N6|Município|Vitória do Xingu|15421|PA
1508407|N6|Município|Xinguara|45416|PA
1600055|N6|Município|Serra do Navio|5577|AP
1600105|N6|Município|Amapá|9265|AP
1600154|N6|Município|Pedra Branca do Amapari|17625|AP
1600204|N6|Município|Calçoene|11493|AP
1600212|N6|Município|Cutias|6217|AP
1600238|N6|Município|Ferreira Gomes|8151|AP
1600253|N6|Município|Itaubal|5730|AP
1600279|N6|Município|Laranjal do Jari|52302|AP
1600303|N6|Município|Macapá|522357|AP
1600402|N6|Município|Mazagão|22468|AP
1600501|N6|Município|Oiapoque|28534|AP
1600535|N6|Município|Porto Grande|22927|AP
1600550|N6|Município|Pracuúba|5370|AP
1600600|N6|Município|Santana|124808|AP
1600709|N6|Município|Tartarugalzinho|18217|AP
1600808|N6|Município|Vitória do Jari|16572|AP
1700251|N6|Município|Abreulândia|2609|TO
1700301|N6|Município|Aguiarnópolis|7049|TO
1700350|N6|Município|Aliança do Tocantins|5303|TO
1700400|N6|Município|Almas|6905|TO
1700707|N6|Município|Alvorada|8381|TO
1701002|N6|Município|Ananás|9435|TO
1701051|N6|Município|Angico|3475|TO
1701101|N6|Município|Aparecida do Rio Negro|4901|TO
1701309|N6|Município|Aragominas|5705|TO
1701903|N6|Município|Araguacema|7223|TO
1702000|N6|Município|Araguaçu|8418|TO
1702109|N6|Município|Araguaína|186245|TO
1702158|N6|Município|Araguanã|5856|TO
1702208|N6|Município|Araguatins|36573|TO
1702307|N6|Município|Arapoema|6590|TO
1702406|N6|Município|Arraias|10502|TO
1702554|N6|Município|Augustinópolis|18870|TO
1702703|N6|Município|Aurora do Tocantins|3809|TO
1702901|N6|Município|Axixá do Tocantins|9817|TO
1703008|N6|Município|Babaçulândia|10668|TO
1703057|N6|Município|Bandeirantes do Tocantins|3631|TO
1703073|N6|Município|Barra do Ouro|4673|TO
1703107|N6|Município|Barrolândia|5669|TO
1703206|N6|Município|Bernardo Sayão|4439|TO
1703305|N6|Município|Bom Jesus do Tocantins|5120|TO
1703602|N6|Município|Brasilândia do Tocantins|2221|TO
1703701|N6|Município|Brejinho de Nazaré|5540|TO
1703800|N6|Município|Buriti do Tocantins|11644|TO
1703826|N6|Município|Cachoeirinha|2293|TO
1703842|N6|Município|Campos Lindos|10505|TO
1703867|N6|Município|Cariri do Tocantins|4499|TO
1703883|N6|Município|Carmolândia|2627|TO
1703891|N6|Município|Carrasco Bonito|4165|TO
1703909|N6|Município|Caseara|5514|TO
1704105|N6|Município|Centenário|2966|TO
1704600|N6|Município|Chapada de Areia|1415|TO
1705102|N6|Município|Chapada da Natividade|3330|TO
1705508|N6|Município|Colinas do Tocantins|36271|TO
1705557|N6|Município|Combinado|4870|TO
1705607|N6|Município|Conceição do Tocantins|4070|TO
1706001|N6|Município|Couto Magalhães|5690|TO
1706100|N6|Município|Cristalândia|7268|TO
1706258|N6|Município|Crixás do Tocantins|1749|TO
1706506|N6|Município|Darcinópolis|6250|TO
1707009|N6|Município|Dianópolis|22704|TO
1707108|N6|Município|Divinópolis do Tocantins|6986|TO
1707207|N6|Município|Dois Irmãos do Tocantins|7173|TO
1707306|N6|Município|Dueré|4686|TO
1707405|N6|Município|Esperantina|11280|TO
1707553|N6|Município|Fátima|3824|TO
1707652|N6|Município|Figueirópolis|5222|TO
1707702|N6|Município|Filadélfia|8892|TO
1708205|N6|Município|Formoso do Araguaia|18358|TO
1708254|N6|Município|Tabocão|2615|TO
1708304|N6|Município|Goianorte|5136|TO
1709005|N6|Município|Goiatins|13169|TO
1709302|N6|Município|Guaraí|26403|TO
1709500|N6|Município|Gurupi|88428|TO
1709807|N6|Município|Ipueiras|2088|TO
1710508|N6|Município|Itacajá|7471|TO
1710706|N6|Município|Itaguatins|5801|TO
1710904|N6|Município|Itapiratins|3814|TO
1711100|N6|Município|Itaporã do Tocantins|2412|TO
1711506|N6|Município|Jaú do Tocantins|3906|TO
1711803|N6|Município|Juarina|2174|TO
1711902|N6|Município|Lagoa da Confusão|13989|TO
1711951|N6|Município|Lagoa do Tocantins|4470|TO
1712009|N6|Município|Lajeado|3199|TO
1712157|N6|Município|Lavandeira|1984|TO
1712405|N6|Município|Lizarda|3727|TO
1712454|N6|Município|Luzinópolis|3200|TO
1712504|N6|Município|Marianópolis do Tocantins|5332|TO
1712702|N6|Município|Mateiros|2773|TO
1712801|N6|Município|Maurilândia do Tocantins|3470|TO
1713205|N6|Município|Miracema do Tocantins|17628|TO
1713304|N6|Município|Miranorte|13551|TO
1713601|N6|Município|Monte do Carmo|8182|TO
1713700|N6|Município|Monte Santo do Tocantins|2311|TO
1713809|N6|Município|Palmeiras do Tocantins|6830|TO
1713957|N6|Município|Muricilândia|3623|TO
1714203|N6|Município|Natividade|9256|TO
1714302|N6|Município|Nazaré|3772|TO
1714880|N6|Município|Nova Olinda|12014|TO
1715002|N6|Município|Nova Rosalândia|4348|TO
1715101|N6|Município|Novo Acordo|4450|TO
1715150|N6|Município|Novo Alegre|2332|TO
1715259|N6|Município|Novo Jardim|2768|TO
1715507|N6|Município|Oliveira de Fátima|1124|TO
1715705|N6|Município|Palmeirante|6234|TO
1715754|N6|Município|Palmeirópolis|7694|TO
1716109|N6|Município|Paraíso do Tocantins|52521|TO
1716208|N6|Município|Paranã|10426|TO
1716307|N6|Município|Pau D'Arco|4885|TO
1716505|N6|Município|Pedro Afonso|13964|TO
1716604|N6|Município|Peixe|11996|TO
1716653|N6|Município|Pequizeiro|5546|TO
1716703|N6|Município|Colméia|8078|TO
1717008|N6|Município|Pindorama do Tocantins|4414|TO
1717206|N6|Município|Piraquê|3038|TO
1717503|N6|Município|Pium|7830|TO
1717800|N6|Município|Ponte Alta do Bom Jesus|4586|TO
1717909|N6|Município|Ponte Alta do Tocantins|8192|TO
1718006|N6|Município|Porto Alegre do Tocantins|3200|TO
1718204|N6|Município|Porto Nacional|53618|TO
1718303|N6|Município|Praia Norte|8563|TO
1718402|N6|Município|Presidente Kennedy|3668|TO
1718451|N6|Município|Pugmil|2746|TO
1718501|N6|Município|Recursolândia|4389|TO
1718550|N6|Município|Riachinho|4723|TO
1718659|N6|Município|Rio da Conceição|2211|TO
1718709|N6|Município|Rio dos Bois|2879|TO
1718758|N6|Município|Rio Sono|6498|TO
1718808|N6|Município|Sampaio|4876|TO
1718840|N6|Município|Sandolândia|3371|TO
1718865|N6|Município|Santa Fé do Araguaia|7678|TO
1718881|N6|Município|Santa Maria do Tocantins|3537|TO
1718899|N6|Município|Santa Rita do Tocantins|2407|TO
1718907|N6|Município|Santa Rosa do Tocantins|4864|TO
1719004|N6|Município|Santa Tereza do Tocantins|2928|TO
1720002|N6|Município|Santa Terezinha do Tocantins|2530|TO
1720101|N6|Município|São Bento do Tocantins|5457|TO
1720150|N6|Município|São Félix do Tocantins|1610|TO
1720200|N6|Município|São Miguel do Tocantins|12445|TO
1720259|N6|Município|São Salvador do Tocantins|3106|TO
1720309|N6|Município|São Sebastião do Tocantins|4898|TO
1720499|N6|Município|São Valério|3848|TO
1720655|N6|Município|Silvanópolis|5452|TO
1720804|N6|Município|Sítio Novo do Tocantins|8965|TO
1720853|N6|Município|Sucupira|2007|TO
1720903|N6|Município|Taguatinga|16966|TO
1720937|N6|Município|Taipas do Tocantins|2183|TO
1720978|N6|Município|Talismã|2831|TO
1721000|N6|Município|Palmas|313349|TO
1721109|N6|Município|Tocantínia|7688|TO
1721208|N6|Município|Tocantinópolis|22820|TO
1721257|N6|Município|Tupirama|1952|TO
1721307|N6|Município|Tupiratins|2785|TO
1722081|N6|Município|Wanderlândia|11783|TO
1722107|N6|Município|Xambioá|11500|TO
2100055|N6|Município|Açailândia|113783|MA
2100105|N6|Município|Afonso Cunha|6631|MA
