UF;COD_MUN;NM_MUN;REDE;NOTA
AC;1200807;Porto Acre;Estadual;3.4
AC;1200807;Porto Acre;Pública;3.4
AM;1300029;Alvarães;Estadual;3.2
AM;1300029;Alvarães;Pública;3.2
AM;1300060;Amaturá;Estadual;3.0
AM;1300060;Amaturá;Pública;3.0
AM;1300086;Anamã;Estadual;3.6
AM;1300086;Anamã;Pública;3.6
AM;1300102;Anori;Estadual;4.0
AM;1300102;Anori;Pública;4.0
AM;1300144;Apuí;Estadual;4.1
AM;1300144;Apuí;Pública;4.1
AM;1300201;Atalaia do Norte;Estadual;2.2
AM;1300201;Atalaia do Norte;Pública;2.2
AM;1300300;Autazes;Estadual;0.0
AM;1300300;Autazes;Pública;0.0
AM;1300409;Barcelos;Estadual;3.3
AM;1300409;Barcelos;Pública;3.3
AM;1300508;Barreirinha;Estadual;3.1
AM;1300508;Barreirinha;Pública;3.1
AM;1300607;Benjamin Constant;Estadual;2.8
AM;1300607;Benjamin Constant;Pública;2.8
AM;1300631;Beruri;Estadual;3.5
AM;1300631;Beruri;Pública;3.5
AM;1300680;Boa Vista do Ramos;Estadual;3.1
AM;1300680;Boa Vista do Ramos;Pública;3.1
AM;1300706;Boca do Acre;Estadual;3.6
AM;1300706;Boca do Acre;Pública;3.6
AM;1300805;Borba;Estadual;3.1
AM;1300805;Borba;Municipal;0.0
AM;1300805;Borba;Pública;3.1
AM;1300839;Caapiranga;Estadual;3.1
AM;1300839;Caapiranga;Pública;3.1
AM;1300904;Canutama;Estadual;3.5
AM;1300904;Canutama;Pública;3.5
AM;1301001;Carauari;Estadual;3.5
AM;1301001;Carauari;Pública;3.5
AM;1301100;Careiro;Estadual;3.3
AM;1301100;Careiro;Pública;3.3
AM;1301159;Careiro da Várzea;Estadual;3.5
AM;1301159;Careiro da Várzea;Pública;3.5
AM;1301209;Coari;Estadual;3.3
AM;1301209;Coari;Federal;0.0
AM;1301209;Coari;Pública;3.3
AM;1301308;Codajás;Estadual;3.2
AM;1301308;Codajás;Pública;3.2
AM;1301407;Eirunepé;Estadual;0.0
AM;1301407;Eirunepé;Federal;4.4
AM;1301407;Eirunepé;Pública;3.4
AM;1301506;Envira;Estadual;0.0
AM;1301506;Envira;Pública;0.0
AM;1301605;Fonte Boa;Estadual;2.5
AM;1301605;Fonte Boa;Pública;2.5
AM;1301654;Guajará;Estadual;0.0
AM;1301654;Guajará;Pública;0.0
AM;1301704;Humaitá;Estadual;3.3
AM;1301704;Humaitá;Federal;0.0
AM;1301704;Humaitá;Pública;3.4
AM;1301803;Ipixuna;Estadual;2.5
AM;1301803;Ipixuna;Pública;2.5
AM;1301852;Iranduba;Estadual;3.3
AM;1301852;Iranduba;Pública;3.3
AM;1301902;Itacoatiara;Estadual;3.4
AM;1301902;Itacoatiara;Federal;0.0
AM;1301902;Itacoatiara;Pública;3.5
AM;1301951;Itamarati;Estadual;2.9
AM;1301951;Itamarati;Pública;2.9
AM;1302009;Itapiranga;Estadual;3.9
AM;1302009;Itapiranga;Pública;3.9
AM;1302108;Japurá;Estadual;3.2
AM;1302108;Japurá;Pública;3.2
AM;1302207;Juruá;Estadual;3.0
AM;1302207;Juruá;Pública;3.0
AM;1302306;Jutaí;Estadual;2.5
AM;1302306;Jutaí;Pública;2.5
AM;1302405;Lábrea;Estadual;3.1
AM;1302405;Lábrea;Federal;0.0
AM;1302405;Lábrea;Pública;3.3
AM;1302504;Manacapuru;Estadual;3.7
AM;1302504;Manacapuru;Federal;0.0
AM;1302504;Manacapuru;Pública;3.7
AM;1302553;Manaquiri;Estadual;3.2
AM;1302553;Manaquiri;Pública;3.2
AM;1302603;Manaus;Estadual;3.8
AM;1302603;Manaus;Federal;0.0
AM;1302603;Manaus;Pública;3.8
AM;1302702;Manicoré;Estadual;3.3
AM;1302702;Manicoré;Pública;3.3
AM;1302801;Maraã;Estadual;2.8
AM;1302801;Maraã;Pública;2.8
AM;1302900;Maués;Estadual;2.8
AM;1302900;Maués;Federal;0.0
AM;1302900;Maués;Pública;2.9
AM;1303007;Nhamundá;Estadual;3.5
AM;1303007;Nhamundá;Pública;3.5
AM;1303106;Nova Olinda do Norte;Estadual;3.0
AM;1303106;Nova Olinda do Norte;Pública;3.0
AM;1303205;Novo Airão;Estadual;3.5
AM;1303205;Novo Airão;Pública;3.5
AM;1303304;Novo Aripuanã;Estadual;3.5
AM;1303304;Novo Aripuanã;Pública;3.5
AM;1303403;Parintins;Estadual;3.8
AM;1303403;Parintins;Federal;0.0
AM;1303403;Parintins;Pública;3.9
AM;1303502;Pauini;Estadual;2.9
AM;1303502;Pauini;Pública;2.9
AM;1303536;Presidente Figueiredo;Estadual;3.8
AM;1303536;Presidente Figueiredo;Federal;0.0
AM;1303536;Presidente Figueiredo;Pública;3.8
AM;1303569;Rio Preto da Eva;Estadual;2.5
AM;1303569;Rio Preto da Eva;Pública;2.5
AM;1303601;Santa Isabel do Rio Negro;Estadual;3.1
AM;1303601;Santa Isabel do Rio Negro;Pública;3.1
AM;1303700;Santo Antônio do Içá;Estadual;3.1
AM;1303700;Santo Antônio do Içá;Pública;3.1
AM;1303809;São Gabriel da Cachoeira;Estadual;2.8
AM;1303809;São Gabriel da Cachoeira;Federal;0.0
AM;1303809;São Gabriel da Cachoeira;Pública;2.8
AM;1303908;São Paulo de Olivença;Estadual;2.7
AM;1303908;São Paulo de Olivença;Pública;2.7
AM;1303957;São Sebastião do Uatumã;Estadual;3.2
AM;1303957;São Sebastião do Uatumã;Pública;3.2
AM;1304005;Silves;Estadual;3.2
AM;1304005;Silves;Pública;3.2
AM;1304062;Tabatinga;Estadual;3.1
AM;1304062;Tabatinga;Federal;0.0
