UF;tipo_de_crime;ano;qtd;taxa_100mil_hab
SC;Estupro (incluindo Estupro de Vulnerável);2015;2714;39.79944832
SE;Estupro (incluindo Estupro de Vulnerável);2015;443;19.75088912
SP;Estupro (incluindo Estupro de Vulnerável);2015;9265;20.8687697
TO;Estupro (incluindo Estupro de Vulnerável);2015;380;25.08042235
AC;Estupro (incluindo Estupro de Vulnerável);2016;277;33.91752287
AL;Estupro (incluindo Estupro de Vulnerável);2016;1278;38.04745691
AM;Estupro (incluindo Estupro de Vulnerável);2016;958;23.940023
AP;Estupro (incluindo Estupro de Vulnerável);2016;450;57.52305716
BA;Estupro (incluindo Estupro de Vulnerável);2016;2845;18.62329531
Brasil;Estupro (incluindo Estupro de Vulnerável);2016;55070;26.71821521
CE;Estupro (incluindo Estupro de Vulnerável);2016;1670;18.63077628
DF;Estupro (incluindo Estupro de Vulnerável);2016;803;26.97150627
ES;Estupro (incluindo Estupro de Vulnerável);2016;390;9.814537948
GO;Estupro (incluindo Estupro de Vulnerável);2016;2313;34.54375879
MA;Estupro (incluindo Estupro de Vulnerável);2016;955;13.73303216
MG;Estupro (incluindo Estupro de Vulnerável);2016;4692;22.34545347
MS;Estupro (incluindo Estupro de Vulnerável);2016;1694;63.15273044
MT;Estupro (incluindo Estupro de Vulnerável);2016;1614;48.82725347
PA;Estupro (incluindo Estupro de Vulnerável);2016;3002;36.145337
PB;Estupro (incluindo Estupro de Vulnerável);2016;464;11.60169675
PE;Estupro (incluindo Estupro de Vulnerável);2016;2067;21.96520932
PI;Estupro (incluindo Estupro de Vulnerável);2016;653;20.32887323
PR;Estupro (incluindo Estupro de Vulnerável);2016;4595;40.87089245
RJ;Estupro (incluindo Estupro de Vulnerável);2016;4705;28.28204575
RN;Estupro (incluindo Estupro de Vulnerável);2016;210;6.043168946
RO;Estupro (incluindo Estupro de Vulnerável);2016;790;44.20126908
RR;Estupro (incluindo Estupro de Vulnerável);2016;82;15.94620296
RS;Estupro (incluindo Estupro de Vulnerável);2016;4079;36.14052186
SC;Estupro (incluindo Estupro de Vulnerável);2016;3588;51.92059159
SE;Estupro (incluindo Estupro de Vulnerável);2016;373;16.46232929
SP;Estupro (incluindo Estupro de Vulnerável);2016;10055;22.46942488
TO;Estupro (incluindo Estupro de Vulnerável);2016;468;30.53032744
AC;Estupro (incluindo Estupro de Vulnerável);2017;210;25.31282432
AL;Estupro (incluindo Estupro de Vulnerável);2017;1485;43.98927313
AM;Estupro (incluindo Estupro de Vulnerável);2017;1053;25.91289429
AP;Estupro (incluindo Estupro de Vulnerável);2017;398;49.89206766
BA;Estupro (incluindo Estupro de Vulnerável);2017;3359;21.8906553
Brasil;Estupro (incluindo Estupro de Vulnerável);2017;63157;30.41352088
CE;Estupro (incluindo Estupro de Vulnerável);2017;1755;19.45577055
DF;Estupro (incluindo Estupro de Vulnerável);2017;889;29.2487705
ES;Estupro (incluindo Estupro de Vulnerável);2017;408;10.15846205
GO;Estupro (incluindo Estupro de Vulnerável);2017;2708;39.94823841
MA;Estupro (incluindo Estupro de Vulnerável);2017;1199;17.1280111
MG;Estupro (incluindo Estupro de Vulnerável);2017;5245;24.83482592
MS;Estupro (incluindo Estupro de Vulnerável);2017;2136;78.72776521
MT;Estupro (incluindo Estupro de Vulnerável);2017;1705;50.97854894
